epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,917.286,1.62552,0.57045,1.73215,0.99739,0.99906,0.995,0.7544,2.0469,0.56988,1.9136,0.000544776,0.000544776,0.000544776
138,923.954,1.62414,0.57533,1.73877,0.99893,0.99669,0.995,0.73944,2.08038,0.57445,1.92632,0.000536524,0.000536524,0.000536524
139,930.625,1.61102,0.56547,1.74334,0.9955,1,0.995,0.73426,2.09108,0.58046,1.93774,0.000528272,0.000528272,0.000528272
140,937.438,1.65451,0.58617,1.7423,0.99425,0.99924,0.995,0.75411,2.03506,0.57179,1.91027,0.000520021,0.000520021,0.000520021
141,944.078,1.62506,0.57145,1.7437,1,0.99591,0.995,0.74766,2.03283,0.57743,1.91209,0.000511769,0.000511769,0.000511769
142,950.893,1.59807,0.57473,1.72911,0.9986,1,0.995,0.74078,2.0085,0.55866,1.90346,0.000503517,0.000503517,0.000503517
143,957.649,1.62029,0.56796,1.72904,0.99554,1,0.995,0.7493,2.05316,0.57185,1.90644,0.000495266,0.000495266,0.000495266
144,964.358,1.59401,0.56581,1.74426,0.99072,0.99373,0.99492,0.75075,1.99296,0.58229,1.89567,0.000487014,0.000487014,0.000487014
145,971.18,1.54337,0.55743,1.73162,0.99555,0.99944,0.995,0.75126,2.02363,0.56893,1.90268,0.000478762,0.000478762,0.000478762
146,977.915,1.62358,0.57493,1.73478,1,0.99892,0.995,0.74642,2.00552,0.58229,1.90177,0.000470511,0.000470511,0.000470511
147,984.804,1.56346,0.55957,1.71728,0.99419,0.99927,0.995,0.74681,2.0235,0.57261,1.90387,0.000462259,0.000462259,0.000462259
148,991.7,1.55132,0.54727,1.72848,0.99138,1,0.995,0.74048,2.05931,0.5665,1.90642,0.000454007,0.000454007,0.000454007
149,998.662,1.56349,0.5551,1.71785,0.99566,1,0.995,0.74197,2.04043,0.56078,1.90958,0.000445756,0.000445756,0.000445756
150,1005.54,1.56705,0.55629,1.73464,0.99357,0.99918,0.995,0.75167,2.009,0.56594,1.89605,0.000437504,0.000437504,0.000437504
151,1012.38,1.5558,0.57231,1.72532,0.99821,1,0.995,0.74752,2.03297,0.57632,1.91103,0.000429253,0.000429253,0.000429253
152,1019.08,1.58405,0.55956,1.72757,0.99887,0.99372,0.995,0.74956,2.02379,0.56568,1.90411,0.000421001,0.000421001,0.000421001
153,1025.8,1.56374,0.56669,1.72525,0.99834,1,0.995,0.74278,2.04098,0.56247,1.90917,0.000412749,0.000412749,0.000412749
154,1032.66,1.55482,0.54404,1.73192,0.99929,1,0.995,0.74666,2.04957,0.56494,1.91308,0.000404498,0.000404498,0.000404498
155,1039.52,1.54755,0.54829,1.73305,0.99901,1,0.995,0.75118,2.04067,0.56474,1.90311,0.000396246,0.000396246,0.000396246
156,1046.5,1.56227,0.55488,1.70666,0.99652,1,0.995,0.73621,2.08357,0.57673,1.92211,0.000387994,0.000387994,0.000387994
157,1053.68,1.53082,0.55673,1.7202,0.99406,0.99896,0.995,0.74679,2.05749,0.576,1.92047,0.000379743,0.000379743,0.000379743
158,1060.62,1.52251,0.5411,1.7254,0.99819,0.99919,0.995,0.73946,2.03324,0.57421,1.91816,0.000371491,0.000371491,0.000371491
159,1067.8,1.56136,0.56074,1.72852,0.99228,0.99759,0.995,0.74528,2.03485,0.57753,1.90911,0.000363239,0.000363239,0.000363239
160,1074.76,1.52283,0.5412,1.70729,0.99898,1,0.995,0.74562,2.03574,0.56403,1.91793,0.000354988,0.000354988,0.000354988
161,1081.79,1.54592,0.54348,1.71669,0.99951,1,0.995,0.73914,2.07915,0.56625,1.93265,0.000346736,0.000346736,0.000346736
162,1088.77,1.49396,0.5293,1.70798,0.9981,0.99595,0.995,0.74703,2.04096,0.56802,1.91226,0.000338484,0.000338484,0.000338484
163,1095.86,1.56407,0.55714,1.73774,0.98578,0.99945,0.99491,0.74367,2.07019,0.57871,1.91588,0.000330233,0.000330233,0.000330233
164,1102.89,1.56801,0.55531,1.72008,0.9972,1,0.995,0.74373,2.04476,0.57338,1.91242,0.000321981,0.000321981,0.000321981
165,1109.82,1.48687,0.52644,1.70685,0.9927,0.99826,0.995,0.74659,2.07054,0.57932,1.92002,0.000313729,0.000313729,0.000313729
166,1116.57,1.51895,0.52531,1.71713,0.99896,1,0.995,0.7387,2.07623,0.56902,1.91545,0.000305478,0.000305478,0.000305478
167,1123.27,1.48433,0.53102,1.70195,1,0.99626,0.995,0.74038,2.06547,0.58109,1.91476,0.000297226,0.000297226,0.000297226
168,1129.99,1.47966,0.53376,1.72046,0.99685,0.999,0.995,0.7378,2.0844,0.57271,1.92335,0.000288974,0.000288974,0.000288974
169,1136.88,1.51482,0.54312,1.7117,0.99397,0.99887,0.995,0.73424,2.07024,0.58524,1.92544,0.000280723,0.000280723,0.000280723
